127.0.0.1 - - [04/Nov/2022:16:58:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:05 +0900] "GET /milestone/app/donation/donation.jsp HTTP/1.1" 200 14406
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:05 +0900] "GET /milestone/app/donation/headerFooter.css HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:05 +0900] "GET /milestone/app/donation/donation.css HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:05 +0900] "GET /milestone/assets/css/donation/donation.css HTTP/1.1" 200 11931
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:05 +0900] "GET /milestone/assets/css/fix/main.css HTTP/1.1" 200 10392
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:05 +0900] "GET /milestone/app/donation/script.js HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:05 +0900] "GET /milestone/assets/img/fix/search.png HTTP/1.1" 200 14434
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:05 +0900] "GET /milestone/assets/img/fix/logo.png HTTP/1.1" 200 23314
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:05 +0900] "GET /milestone/assets/js/donation/donation.js HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:05 +0900] "GET /milestone/assets/img/donation/baby1.jpg HTTP/1.1" 200 2915033
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:06 +0900] "GET /milestone/assets/css/donation/img/schoolProfile.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:07 +0900] "GET /milestone/app/donation/script.js HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:11 +0900] "GET /milestone/member/login.me HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [04/Nov/2022:16:58:11 +0900] "GET /milestone/assets/css/login/login1.css HTTP/1.1" 200 1387
